0 76.400002 30.899998 99.699997 99.699997
150 82.400002 33.899998 100.000000 100.000000
300 86.299995 33.899998 99.900002 99.900002
450 87.699997 34.500000 100.000000 100.000000
600 90.200005 39.200001 100.000000 100.000000
750 92.299995 36.399998 100.000000 100.000000
900 93.500000 40.200001 100.000000 100.000000
1050 95.300003 41.400002 100.000000 100.000000
1200 96.900002 39.700001 100.000000 100.000000
1350 97.699997 41.700001 100.000000 100.000000
1500 99.099998 42.000000 100.000000 100.000000
1650 98.199997 40.599998 100.000000 100.000000
1800 98.500000 38.100002 100.000000 100.000000
1950 98.900002 37.900002 100.000000 100.000000
2100 99.299995 41.299999 100.000000 100.000000
2250 99.299995 43.500000 100.000000 100.000000
2400 99.199997 37.900002 100.000000 100.000000
2550 99.500000 42.099998 100.000000 100.000000
2700 99.599998 38.700001 100.000000 100.000000
2850 99.400002 39.799999 100.000000 100.000000
3000 99.699997 40.900002 100.000000 100.000000
