100.000000 0 0 0 0
97.560974 0 0 0 0
95.238098 0 0 0 0
93.023262 0 0 0 0
90.909096 0 0 3 3
88.888893 0 0 10 10
86.956520 0 0 29 29
85.106384 0 0 57 57
83.333328 0 0 84 84
81.632652 0 0 96 96
80.000000 0 0 100 100
78.431374 0 0 100 100
76.923080 0 0 100 100
75.471703 0 2 100 100
74.074074 0 3 100 100
72.727272 0 5 100 100
71.428574 0 9 100 100
70.175438 0 10 100 100
68.965515 0 11 100 100
67.796616 0 15 100 100
66.666672 0 22 100 100
65.573769 0 27 100 100
64.516129 0 32 100 100
63.492065 0 34 100 100
62.500000 0 38 100 100
61.538464 0 54 100 100
60.606064 0 52 100 100
59.701492 0 56 100 100
58.823532 0 59 100 100
57.971012 0 61 100 100
57.142860 0 72 100 100
56.338032 0 73 100 100
55.555557 0 76 100 100
54.794521 1 76 100 100
54.054050 1 79 100 100
53.333336 1 86 100 100
52.631580 1 87 100 100
51.948051 2 89 100 100
51.282055 2 89 100 100
50.632912 2 89 100 100
50.000000 3 94 100 100
49.382717 4 94 100 100
48.780487 5 93 100 100
48.192772 6 95 100 100
47.619049 6 95 100 100
47.058823 7 98 100 100
46.511631 6 98 100 100
45.977013 10 98 100 100
45.454548 12 98 100 100
44.943821 9 98 100 100
44.444447 13 98 100 100
43.956043 15 99 100 100
43.478260 16 99 100 100
43.010754 19 99 100 100
42.553192 19 99 100 100
42.105263 20 99 100 100
41.666664 26 100 100 100
41.237114 26 99 100 100
40.816326 33 100 100 100
40.404041 34 100 100 100
40.000000 38 100 100 100
