0 74.430000 2.790000 0.110000 2.950000 0.020000
100 77.980003 3.190000 0.140000 4.950000 0.000000
200 80.260002 3.430000 0.190000 6.440000 0.020000
300 82.410004 4.260000 0.200000 8.170000 0.010000
400 85.309998 4.560000 0.250000 9.040000 0.020000
500 86.879997 5.340000 0.250000 11.660000 0.020000
600 88.709999 5.910000 0.390000 12.370000 0.020000
700 90.440002 6.370000 0.410000 14.810000 0.020000
800 91.889999 7.110000 0.320000 15.440001 0.020000
900 93.269997 7.250000 0.470000 17.440001 0.050000
1000 94.110001 7.870000 0.520000 19.470001 0.050000
1100 95.630005 8.280000 0.510000 21.359999 0.020000
1200 95.660004 9.089999 0.460000 23.180000 0.030000
1300 96.559998 8.950000 0.490000 23.720001 0.040000
1400 97.360001 10.480000 0.690000 26.750002 0.030000
1500 98.009995 10.080000 0.700000 27.950001 0.030000
1600 98.229996 10.520000 0.710000 29.929998 0.070000
1700 98.449997 11.559999 0.720000 31.610001 0.040000
1800 98.559998 12.330000 0.840000 33.160000 0.050000
1900 98.709999 12.420000 0.700000 34.520000 0.110000
2000 99.099998 13.259999 0.810000 36.840000 0.080000
2100 99.209999 13.300000 0.870000 37.180000 0.070000
2200 99.320000 14.230000 0.830000 40.400002 0.020000
2300 99.220001 14.540000 1.090000 42.119999 0.090000
2400 99.470001 14.900001 0.950000 43.309998 0.030000
2500 99.629997 15.080001 1.130000 45.170002 0.110000
2600 99.580002 15.490000 1.050000 45.610001 0.080000
2700 99.599998 15.840000 1.080000 44.310001 0.080000
2800 99.580002 16.180000 1.090000 45.570000 0.080000
2900 99.620003 16.100000 1.220000 45.619999 0.110000
3000 99.699997 16.020000 1.230000 45.450001 0.070000
