0 6.790287 140.930132 
150 5.399928 114.767186 
300 4.113066 86.458280 
450 3.003588 62.504411 
600 1.813991 38.665687 
750 1.110642 23.974035 
900 0.558602 10.324778 
1050 0.233339 4.700741 
1200 0.052722 0.661831 
1350 0.033987 0.365715 
1500 0.030090 0.330398 
1650 0.025549 0.265981 
1800 0.025049 0.244786 
1950 0.021625 0.203436 
2100 0.021838 0.188217 
2250 0.020256 0.166711 
2400 0.018698 0.155289 
2550 0.017483 0.125529 
2700 0.018290 0.122589 
2850 0.015984 0.112461 
3000 0.015616 0.114942 
