0 99.720001 1.310000 37.480000 
500 100.000000 2.620000 44.910000 
1000 100.000000 4.080000 52.020000 
1500 100.000000 7.100000 62.040001 
2000 100.000000 10.210000 70.889999 
2500 100.000000 16.180000 81.639999 
3000 100.000000 21.379999 85.720001 
3500 100.000000 27.080000 90.330002 
4000 100.000000 33.860001 93.139999 
4500 100.000000 39.770000 95.459999 
5000 100.000000 46.630001 96.779999 
5500 100.000000 52.869999 97.970001 
6000 100.000000 60.639999 98.570000 
6500 100.000000 66.639999 99.000000 
7000 100.000000 71.970001 99.309998 
7500 100.000000 75.910004 99.699997 
8000 100.000000 81.040001 99.839996 
8500 100.000000 85.320000 99.910004 
9000 100.000000 87.900002 99.900002 
9500 100.000000 90.240005 99.940002 
10000 100.000000 92.799995 99.970001 
10500 100.000000 94.099998 99.989998 
11000 100.000000 95.840004 99.980003 
11500 100.000000 96.770004 99.989998 
12000 100.000000 97.849998 100.000000 
