40 0 1141 2315 
41 0 881 2166 
42 0 768 2251 
43 0 927 2170 
44 0 1288 2427 
45 0 1105 2360 
46 0 1110 2386 
47 0 1414 2757 
48 0 1428 2775 
50 0 1424 2699 
51 25 1624 3036 
52 227 1755 3178 
54 0 1493 3024 
55 309 1692 3304 
57 306 1765 3089 
58 410 2012 3663 
60 620 2019 3786 
62 665 2110 3703 
64 952 2293 4168 
66 1190 2421 4150 
68 1218 2644 4450 
71 1235 2840 4748 
74 1453 3042 5192 
76 1703 3376 5458 
80 1741 3267 5149 
83 2124 3936 5990 
86 2477 4190 6352 
90 2990 4590 6691 
95 3145 5026 7152 
